Date,Affected Legislation (Act),Affected Provision,Type of Effect,Affecting Legislation (Year and Chapter or Number),Affecting Provision ,Amendment applied to Database,Checked (Y or leave Blank),Transferred to Final TOES Chart (Date)
12/1/2009,1990 c. 042,s. 0086(06),text amended,Digital Economy Bill,s. 0030(01),,,
12/1/2009,1990 c. 042,s. 0097A 0097B,inserted,Digital Economy Bill,s. 0030(02),,,
12/1/2009,1990 c. 042,s. 0199(05),text amended,Digital Economy Bill,s. 0030(03),,,
12/1/2009,1990 c. 042,s. 0103A(01),text amended,Digital Economy Bill,s. 0031(01),,,
12/1/2009,1990 c. 042,s. 0103B,inserted,Digital Economy Bill,s. 0031(02),,,
12/1/2009,1990 c. 042,s. 0104A(01),text amended,Digital Economy Bill,s. 0032(01)(a),,,
12/1/2009,1990 c. 042,s. 0104A(01A),inserted,Digital Economy Bill,s. 0032(01)(b),,,
12/1/2009,1990 c. 042,s. 0144AA-0104AC,inserted,Digital Economy Bill,s. 0032(02),,,
12/1/2009,1990 c. 042,s. 0086(06),text amended,Digital Economy Bill,s. 0033(01),,,
12/1/2009,1990 c. 042,s. 0105A,inserted,Digital Economy Bill,s. 0033(02),,,
12/1/2009,1990 c. 042,s. 0199(05),text amended,Digital Economy Bill,s. 0033(03),,,
12/1/2009,1990 c. 042,s. 0106(01A)(e) and word,inserted,Digital Economy Bill,s. 0034(01),,,
12/1/2009,2003 c. 021,s. 0314(01)(a),text amended,Digital Economy Bill,s. 0034(03) Sch. 03,,,
12/1/2009,2003 c. 021,s. 0314(01A),inserted,Digital Economy Bill,s. 0034(04),,,
12/1/2009,2003 c. 021,s. 0314(07),text amended,Digital Economy Bill,s. 0034(05),,,
12/1/2009,2003 c. 021,s. 0314(09)-(11),inserted,Digital Economy Bill,s. 0034(06),,,
12/1/2009,1996 c. 055,s. 0054A,inserted,Digital Economy Bill,s. 0035,,,
12/1/2009,1996 c. 055,s. 0058A,inserted,Digital Economy Bill,s. 0036(01),,,
12/1/2009,1996 c. 055,s. 0072(01),text amended,Digital Economy Bill,s. 0036(02),,,
12/1/2009,2003 c. 021,s. 0263(04)(04A),substituted for s. 263(4),Digital Economy Bill,s. 0037,,,
12/1/2009,2006 c. 036,s. 0012(05),text amended,Digital Economy Bill,s. 0038(02),,,
12/1/2009,2006 c. 036,s. 0012(06)-(09),inserted,Digital Economy Bill,s. 0038(03),,,
12/1/2009,2006 c. 036,s. 0014(05),text amended,Digital Economy Bill,s. 0038(05),,,
